course_code,status,canonical_title,canonical_cus,first_seen,last_seen,edition_count,span_months,college_count,colleges,title_variant_count,title_variants,first_programs,latest_programs
ABP1,RETIRED,Introduction to Preclinical Experiences,3,2017-01,2017-05,3,4,1,Teachers College,0,,"Bachelor of Arts, Interdisciplinary Studies (K-8) | Bachelor of Arts, Mathematics (5-12) | Bachelor of Arts, Mathematics (5-9) | Bachelor of Arts, Science (5-12, Bio)","Bachelor of Arts, Interdisciplinary Studies (K-8) | Bachelor of Arts, Mathematics (5-12) | Bachelor of Arts, Mathematics (5-9) | Bachelor of Arts, Science (5-12, Bio)"
ABV1,RETIRED,Operating Systems,6,2017-01,2017-09,6,8,1,College of Information Technology,0,,"Bachelor of Science, IT - Networks Administration Emphasis","Bachelor of Science, IT - Networks Administration Emphasis"
AEP1,RETIRED,Preclinical Experiences in Elementary Education,3,2017-01,2017-05,3,4,1,Teachers College,0,,"Bachelor of Arts, Interdisciplinary Studies (K-8)","Bachelor of Arts, Interdisciplinary Studies (K-8)"
AEP2,RETIRED,Preclinical Experiences in Elementary Education,2,2017-01,2017-05,3,4,1,Teachers College,0,,"Master of Arts in Teaching, Elementary Education (K-8) | Post-baccalaureate Teacher Preparation, Elementary Education (K-8)","Master of Arts in Teaching, Elementary Education (K-8) | Post-baccalaureate Teacher Preparation, Elementary Education (K-8)"
AFP1,RETIRED,Pre-Clinical Experiences in Science,3,2017-01,2017-05,3,4,1,Teachers College,1,Preclinical Experiences in Science,"Bachelor of Arts, Science (5-9)","Bachelor of Arts, Science (5-9)"
AFP2,RETIRED,Pre-Clinical Experiences in Science,2,2017-01,2017-05,3,4,1,Teachers College,1,Preclinical Experiences in Science,"Master of Arts in Teaching, Science (5-9) | Post-baccalaureate Teacher Preparation, Science (5-9)","Master of Arts in Teaching, Science (5-9) | Post-baccalaureate Teacher Preparation, Science (5-9)"
AFT2,ACTIVE,Accreditation Audit,4,2017-01,2026-03,108,110,2,College of Business | School of Business,0,,"MBA, Healthcare Management","Master of Business Administration, Healthcare Administration"
AGP1,RETIRED,Pre-Clinical Experiences in Mathematics,3,2017-01,2017-05,3,4,1,Teachers College,1,Preclinical Experiences in Mathematics,"Bachelor of Arts, Mathematics (5-9)","Bachelor of Arts, Mathematics (5-9)"
AGP2,RETIRED,Pre-Clinical Experiences in Mathematics,2,2017-01,2017-05,3,4,1,Teachers College,1,Preclinical Experiences in Mathematics,"Master of Arts in Teaching, Mathematics (5-9) | Post-baccalaureate Teacher Preparation, Mathematics (5-9)","Master of Arts in Teaching, Mathematics (5-9) | Post-baccalaureate Teacher Preparation, Mathematics (5-9)"
AIT2,ACTIVE,Organic Chemistry,2,2017-01,2026-03,108,110,2,School of Education | Teachers College,0,,"Master of Arts, Science Education (5-12, Chemistry)",Master of Arts Science Education (Secondary Chemistry)
ALP1,RETIRED,Preclinical Experiences in Elementary and Special Education,3,2017-01,2017-05,3,4,1,Teachers College,0,,"Bachelor of Arts, Special Education","Bachelor of Arts, Special Education"
AMP2,RETIRED,Pre-Clinical Experiences in Social Science,2,2017-01,2017-05,3,4,1,Teachers College,1,Preclinical Experiences in Social Science,"Master of Arts in Teaching, Social Science (5-12) | Post-baccalaureate Teacher Preparation, Social Science (5-12)","Master of Arts in Teaching, Social Science (5-12) | Post-baccalaureate Teacher Preparation, Social Science (5-12)"
AMT2,ACTIVE,Service Line Development,4,2017-01,2026-03,108,110,2,College of Business | School of Business,0,,"MBA, Healthcare Management","Master of Business Administration, Healthcare Administration"
AOA2,ACTIVE,Number Sense and Functions,4,2017-01,2026-03,108,110,2,School of Education | Teachers College,0,,"Master of Arts, Mathematics Education (K-6)","Master of Arts, Mathematics Education (K-6)"
ASA1,ACTIVE,Assessment Theory and Practice,3,2017-01,2026-03,108,110,2,School of Education | Teachers College,0,,"Endorsement Preparation Program, English Language Learning (PreK-12) | Master of Arts, English Language Learning (PreK-12)","Endorsement Preparation Program, English Language Learning | Master of Arts, English Language Learning"
ASC1,RETIRED,Marketing Management Concepts,12,2017-01,2020-09,42,44,1,College of Business,0,,"Bachelor of Science, Marketing Management","Bachelor of Science Business Administration, Marketing"
ASP1,RETIRED,Pre-Clinical Experiences in Mathematics,3,2017-01,2017-05,3,4,1,Teachers College,1,Preclinical Experiences in Mathematics,"Bachelor of Arts, Mathematics (5-12)","Bachelor of Arts, Mathematics (5-12)"
ASP2,RETIRED,Pre-Clinical Experiences in Mathematics,2,2017-01,2017-05,3,4,1,Teachers College,1,Preclinical Experiences in Mathematics,"Master of Arts in Teaching, Mathematics (5-12) | Post-baccalaureate Teacher Preparation, Mathematics (5-12)","Master of Arts in Teaching, Mathematics (5-12) | Post-baccalaureate Teacher Preparation, Mathematics (5-12)"
AST1,RETIRED,Marketing Management Tasks,6,2017-01,2020-01,34,36,1,College of Business,0,,"Bachelor of Science, Marketing Management","Bachelor of Science, Marketing Management"
ATP1,RETIRED,Pre-Clinical Experiences in Science,3,2017-01,2017-05,3,4,1,Teachers College,1,Preclinical Experiences in Science,"Bachelor of Arts, Science (5-12, Bio)","Bachelor of Arts, Science (5-12, Bio)"
AUA2,ACTIVE,"Graphing, Proportional Reasoning and Equations/Inequalities",4,2017-01,2026-03,108,110,2,School of Education | Teachers College,1,"Graphing, Proportional Reasoning and","Master of Arts, Mathematics Education (K-6)","Master of Arts, Mathematics Education (K-6)"
AUP1,RETIRED,Pre-Clinical Experiences in Science,3,2017-01,2017-05,3,4,1,Teachers College,1,Preclinical Experiences in Science,"Bachelor of Arts, Science (5-12, Chemistry)","Bachelor of Arts, Science (5-12, Chemistry)"
AVA2,ACTIVE,Geometry and Statistics,4,2017-01,2026-03,108,110,2,School of Education | Teachers College,0,,"Master of Arts, Mathematics Education (K-6)","Master of Arts, Mathematics Education (K-6)"
